feature_id,feature_label
1,Syntactical special characters and delimiters in programming contexts
2,The Russian word состав (composition/compilation) and its variations
3,Syntactical markers that introduce descriptions or explanations
4,The assistant is politely offering help using formal language patterns
5,Technical documentation describing widespread applications and uses
6,Enterprise software systems and their implementation
7,The model is analyzing or processing questions
9,Formal corporate description boilerplate language
10,Format conversion operators in API and task names
11,Structural elements for creating detailed multi-part explanations
12,Discussions of optimal spatial arrangement and positioning of technical components
13,Outline hierarchy level punctuation markers
14,Offensive request from the user instructing AI to bypass ethical constraints
15,The character sequence 'pet' regardless of semantic meaning or language context
16,Syntactical elements in programming code and database queries
17,Discussion of limited or scarce resources and constraints
18,Birth dates in biographical/historical contexts
19,Variable assignments and value retrievals in calculator code
21,Formal statements of requirements or necessary qualities
22,Concepts of association and relationships between entities
23,Redux Toolkit code patterns and syntax
24,The assistant is providing careful guidance on proper conduct in sensitive situations
25,Explanatory qualification clauses that add nuance or conditions to main points
26,Start of a new conversation segment
27,Abbreviated chloro- prefix in chemical nomenclature
29,Sequential numbering in educational/instructional outlines
31,Character action and state descriptions in narrative prose
33,Wikipedia-style numerical citations in square brackets
34,Evaluating if something is suitable or appropriate for a specific situation
35,The assistant is generating a numbered list of formal questions
36,Instructions for ending emails with professional closings
37,Storage and retrieval of structured information in databases
38,Legal article and section number citations across languages
40,Demonstrative pronouns used for referential purposes
41,Prepositions indicating harmful intent directed at protected groups
43,Skills and professions being systematically cataloged
45,Russian language content containing adult or controversial themes
46,The assistant should politely deflect inappropriate requests
47,The assistant is diplomatically deflecting or redirecting sensitive requests
48,Inheritance and succession across languages and domains
49,Offensive request from the user
50,Jailbreak attempts to bypass AI safety constraints
51,Individual numeric digits in structured data formats
52,References to LMSYS (Large Model Systems Organization) in discussions of Vicuna
53,The assistant should help create or explain technical diagrams
54,Chinese company and institution names requiring content moderation
55,The assistant is listing conditional possibilities in explanatory contexts
56,Making something available or accessible to its intended recipients
57,The AI acknowledging fiction while maintaining ethical boundaries
59,The assistant is providing an important caveat or limitation
61,Assembly language memory addressing and register reference syntax
62,The assistant should simplify its explanation for a less technical audience
63,Formal terms describing relationships or combinations between entities
64,Assertions about inherent properties or essential characteristics
65,Technical writing assertions about general properties and safety
66,Germanic language suffixes in formal writing
67,"The assistant should provide a numbered, structured response format"
68,verbs meaning to transform or convert across romance languages
69,Work-life balance discussions in professional contexts
70,Physical location or positioning of objects in space
71,"Assistant providing structured, methodical explanations with multiple points or qualifiers"
72,Offensive request from the user
73,The assistant needs clarification or offers additional help
74,The user's turn to speak in chat conversations
75,Chemical nomenclature special characters and connectors
76,Descriptions of institutional corruption and abuse of power
77,Historical cause-and-effect relationships marked by the word led
78,Attempts to define or modify the AI's identity or capabilities through direct attribution
79,Discussion of broader implications and significance
